Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
51542125,08/16/2021 12:00:06 AM,08/16/2021 01:22:25 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10465.0,101 HUTCHINSON RIVER PARKWAY,HUTCHINSON RIVER PARKWAY,WHITESTONE BRIDGE APPROACH,SCHLEY AVENUE,WHITESTONE BRIDGE APPROACH,SCHLEY AVENUE,,BRONX,HUTCHINSON RIVER PARKWAY SR,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/16/2021 05:22:31 AM,10 BRONX,2056220001.0,BRONX,1029200.0,235186.0,MOBILE,Unspecified,BRONX,,,,,,,,40.81209266902469,-73.83761686202138,"(40.81209266902469, -73.83761686202138)"
51537426,08/16/2021 12:00:08 AM,08/17/2021 08:30:55 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10466.0,3935 MURDOCK AVENUE,MURDOCK AVENUE,SANDRA GRESHAM WAY,REVEREND DR SAMUEL G SIMPSON WAY,SANDRA GRESHAM WAY,REVEREND DR SAMUEL G SIMPSON WAY,,BRONX,MURDOCK AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/17/2021 12:30:59 PM,12 BRONX,2049570048.0,BRONX,1028621.0,263388.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8895015953682,-73.83952186617596,"(40.889501595368195, -73.83952186617596)"
51537605,08/16/2021 12:00:22 AM,08/16/2021 12:37:09 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10036.0,228 WEST   47 STREET,WEST   47 STREET,WEST   47 STREET BIKE PATH,8 AVENUE,WEST   47 STREET BIKE PATH,8 AVENUE,,NEW YORK,WEST   47 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,08/16/2021 04:37:14 AM,05 MANHATTAN,1010180018.0,MANHATTAN,988160.0,216066.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.759726865080566,-73.98588612806316,"(40.759726865080566, -73.98588612806316)"
51535497,08/16/2021 12:00:27 AM,08/16/2021 12:59:10 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210.0,3513 AVENUE L,AVENUE L,EAST   35 STREET,EAST   36 STREET,EAST   35 STREET,EAST   36 STREET,,BROOKLYN,AVENUE L,,Closed,,The Police Department reviewed your complaint and provided additional information below.,08/16/2021 04:59:16 AM,18 BROOKLYN,3076350005.0,BROOKLYN,1000628.0,166094.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62255100655752,-73.94100206305218,"(40.62255100655752, -73.94100206305218)"
51541736,08/16/2021 12:00:46 AM,08/16/2021 12:13:54 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034.0,109 POST AVENUE,POST AVENUE,WEST  204 STREET,WALTHER DELGADO WAY,WEST  204 STREET,WALTHER DELGADO WAY,,NEW YORK,POST AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/16/2021 04:13:59 AM,12 MANHATTAN,1022190001.0,MANHATTAN,1006227.0,254199.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)"
51535817,08/16/2021 12:00:54 AM,08/16/2021 12:42:59 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10463.0,5365 BROADWAY,BROADWAY,TED CORBITT WAY,EXTERIOR STREET,TED CORBITT WAY,EXTERIOR STREET,,BRONX,BROADWAY,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/16/2021 04:43:05 AM,08 BRONX,1022150623.0,BRONX,1009709.0,258450.0,MOBILE,Unspecified,BRONX,,,,,,,,40.87602316214391,-73.90794025233002,"(40.87602316214391, -73.90794025233002)"
51534917,08/16/2021 12:00:57 AM,08/16/2021 02:12:57 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368.0,100-09 40 ROAD,40 ROAD,100 STREET,102 STREET,100 STREET,102 STREET,,CORONA,40 ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/16/2021 06:13:02 AM,04 QUEENS,4016090039.0,QUEENS,1021702.0,212073.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.74868864854912,-73.86483238998045,"(40.74868864854912, -73.86483238998045)"
51534568,08/16/2021 12:00:59 AM,08/16/2021 12:21:42 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459.0,880 BECK STREET,BECK STREET,INTERVALE AVENUE,TIFFANY STREET,INTERVALE AVENUE,TIFFANY STREET,,BRONX,BECK STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/16/2021 04:21:45 AM,02 BRONX,2027110042.0,BRONX,1013064.0,237697.0,MOBILE,Unspecified,BRONX,,,,,,,,40.81905202044264,-73.89589776494034,"(40.81905202044264, -73.89589776494034)"
51542074,08/16/2021 12:01:03 AM,08/16/2021 01:23:45 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11372.0,33-34 77 STREET,77 STREET,NORTHERN BOULEVARD,34 AVENUE,NORTHERN BOULEVARD,34 AVENUE,,JACKSON HEIGHTS,77 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,08/16/2021 05:23:48 AM,03 QUEENS,4012490018.0,QUEENS,1014755.0,214126.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.75435030368836,-73.88989539022738,"(40.75435030368836, -73.88989539022738)"
51538460,08/16/2021 12:01:59 AM,08/16/2021 03:22:48 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11213.0,709 CROWN STREET,CROWN STREET,TROY AVENUE,SCHENECTADY AVENUE,TROY AVENUE,SCHENECTADY AVENUE,,BROOKLYN,CROWN STREET,,Closed,,The Police Department issued a summons in response to the complaint.,08/16/2021 07:22:51 AM,09 BROOKLYN,3014130046.0,BROOKLYN,1002383.0,181710.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6654101340409,-73.93463811188407,"(40.6654101340409, -73.93463811188407)"
