Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
51557048,08/18/2021 12:00:21 AM,08/18/2021 12:40:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10128.0,1682 1 AVENUE,1 AVENUE,EAST   87 STREET,EAST   88 STREET,EAST   87 STREET,EAST   88 STREET,,NEW YORK,1 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/18/2021 04:40:04 AM,08 MANHATTAN,1015670045.0,MANHATTAN,998486.0,222700.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77792487129263,-73.9485984649779,"(40.777924871292626, -73.9485984649779)"
51559296,08/18/2021 12:00:38 AM,,DPR,Department of Parks and Recreation,Illegal Tree Damage,Branches Damaged,Street,11377.0,64-11 WOODSIDE AVENUE,WOODSIDE AVENUE,64 STREET,65 STREET,64 STREET,65 STREET,,WOODSIDE,WOODSIDE AVENUE,,In Progress,,,,02 QUEENS,4012960072.0,QUEENS,1011761.0,210357.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.7440151774959,-73.90071732914791,"(40.7440151774959, -73.90071732914791)"
51560732,08/18/2021 12:00:54 AM,08/18/2021 06:08:19 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11222.0,1133 MANHATTAN AVENUE,MANHATTAN AVENUE,CLAY STREET,BOX STREET,CLAY STREET,BOX STREET,,BROOKLYN,MANHATTAN AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/18/2021 10:08:25 AM,01 BROOKLYN,3024820026.0,BROOKLYN,996609.0,207821.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.7370886448601,-73.95540304738772,"(40.7370886448601, -73.95540304738772)"
51562885,08/18/2021 12:01:11 AM,08/18/2021 04:03:19 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11218.0,3522 15 AVENUE,15 AVENUE,DAHILL ROAD,36 STREET,DAHILL ROAD,36 STREET,,BROOKLYN,15 AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,08/18/2021 08:03:25 AM,12 BROOKLYN,3053500049.0,BROOKLYN,989806.0,172330.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63968090425977,-73.97998066531991,"(40.63968090425977, -73.97998066531991)"
51566951,08/18/2021 12:01:24 AM,08/18/2021 01:14:11 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11236.0,9128 BEDELL LANE,BEDELL LANE,REMSEN AVENUE,EAST   92 STREET,REMSEN AVENUE,EAST   92 STREET,,BROOKLYN,BEDELL LANE,,Closed,,The Police Department issued a summons in response to the complaint.,08/18/2021 05:14:15 AM,18 BROOKLYN,3081410075.0,BROOKLYN,1009283.0,174037.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64433261759319,-73.90979499154636,"(40.64433261759319, -73.90979499154636)"
51567561,08/18/2021 12:01:32 AM,08/18/2021 09:46:39 AM,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Street,11417.0,105-01 LIBERTY AVENUE,LIBERTY AVENUE,105 STREET,106 STREET,105 STREET,106 STREET,,OZONE PARK,LIBERTY AVENUE,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",08/18/2021 01:46:43 PM,10 QUEENS,4095090060.0,QUEENS,1029723.0,187967.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68248595655223,-73.83604678346182,"(40.68248595655223, -73.83604678346182)"
51557212,08/18/2021 12:02:00 AM,,DOT,Department of Transportation,Street Condition,Wear & Tear,,10039.0,301 WEST  145 STREET,WEST  145 STREET,8 AVENUE,BRADHURST AVENUE,,,ADDRESS,NEW YORK,,,Pending,,The Department of Transportation inspected this complaint and repaired the problem.,08/18/2021 09:30:00 AM,10 MANHATTAN,1020457501.0,MANHATTAN,1000286.0,239090.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.82290784963512,-73.9420601130855,"(40.822907849635115, -73.9420601130855)"
51563223,08/18/2021 12:02:37 AM,08/18/2021 01:18:14 AM,NYPD,New York City Police Department,Encampment,,Subway,,,,,,,,,,,,Closed,,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,08/18/2021 05:18:17 AM,Unspecified MANHATTAN,,MANHATTAN,993428.0,232185.0,MOBILE,Unspecified,MANHATTAN,,,,1,,,Platform,40.80396534055343,-73.9668482836493,"(40.80396534055343, -73.9668482836493)"
51563998,08/18/2021 12:02:52 AM,08/18/2021 09:46:41 AM,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Street,11417.0,103-70 105 STREET,105 STREET,103 DRIVE,LIBERTY AVENUE,103 DRIVE,LIBERTY AVENUE,,OZONE PARK,105 STREET,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",08/18/2021 01:46:43 PM,10 QUEENS,4095080040.0,QUEENS,1029639.0,188075.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68278282258054,-73.83634891786339,"(40.68278282258054, -73.83634891786339)"
51567874,08/18/2021 12:03:22 AM,08/18/2021 12:47:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009.0,536 EAST    6 STREET,EAST    6 STREET,AVENUE A,AVENUE B,AVENUE A,AVENUE B,,NEW YORK,EAST    6 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/18/2021 04:47:45 AM,03 MANHATTAN,1004010028.0,MANHATTAN,988957.0,203438.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72506576666049,-73.98301804538038,"(40.72506576666049, -73.98301804538038)"
51569993,08/18/2021 12:03:34 AM,08/18/2021 01:06:14 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421.0,87-60 97 STREET,97 STREET,JAMAICA AVENUE,89 AVENUE,JAMAICA AVENUE,89 AVENUE,,WOODHAVEN,97 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,08/18/2021 05:06:16 AM,09 QUEENS,4089370036.0,QUEENS,1026277.0,192210.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.69414903222102,-73.84844486664636,"(40.69414903222102, -73.84844486664636)"
51570801,08/18/2021 12:03:41 AM,08/18/2021 02:17:55 AM,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,08/18/2021 02:17:55 AM,Unspecified MANHATTAN,,MANHATTAN,993428.0,232185.0,MOBILE,Unspecified,MANHATTAN,,,,1,1 Uptown & The Bronx,,Platform,40.80396534055343,-73.9668482836493,"(40.80396534055343, -73.9668482836493)"
51564117,08/18/2021 12:04:08 AM,08/18/2021 12:38:42 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11358.0,43-31 165 STREET,165 STREET,43 AVENUE,45 AVENUE,43 AVENUE,45 AVENUE,,FLUSHING,165 STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,08/18/2021 04:38:48 AM,07 QUEENS,4054230024.0,QUEENS,1039257.0,215546.0,PHONE,Unspecified,QUEENS,,,,,,,,40.75812935208928,-73.80144659968354,"(40.75812935208928, -73.80144659968354)"
51570271,08/18/2021 12:04:18 AM,08/18/2021 02:07:18 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10469.0,3020 YATES AVENUE,YATES AVENUE,ADEE AVENUE,BURKE AVENUE,ADEE AVENUE,BURKE AVENUE,,BRONX,YATES AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,08/18/2021 06:07:28 AM,11 BRONX,2045810001.0,BRONX,1024476.0,256519.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8706682187132,-73.8545544519897,"(40.8706682187132, -73.8545544519897)"
