Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
51350498,07/28/2021 12:00:34 AM,07/28/2021 01:22:14 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453.0,1628 MACOMBS ROAD,MACOMBS ROAD,FEATHERBED LANE,WEST  174 STREET,FEATHERBED LANE,WEST  174 STREET,,BRONX,MACOMBS ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/28/2021 05:22:20 AM,05 BRONX,2028660003.0,BRONX,1007388.0,247939.0,PHONE,Unspecified,BRONX,,,,,,,,40.84718003913569,-73.9163692700385,"(40.84718003913569, -73.9163692700385)"
51352333,07/28/2021 12:00:41 AM,07/28/2021 01:37:28 AM,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,,Closed,,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",07/28/2021 01:37:28 AM,Unspecified MANHATTAN,,MANHATTAN,985544.0,203444.0,MOBILE,Unspecified,MANHATTAN,,,,6,,Houston St & Mulberry St NW corner,Entrance,40.72508339287972,-73.99533149459049,"(40.72508339287972, -73.99533149459049)"
51355015,07/28/2021 12:01:00 AM,07/28/2021 12:48:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238.0,603 VANDERBILT AVENUE,VANDERBILT AVENUE,BERGEN STREET,ST MARKS AVENUE,BERGEN STREET,ST MARKS AVENUE,,BROOKLYN,VANDERBILT AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/28/2021 04:48:49 AM,08 BROOKLYN,3011450013.0,BROOKLYN,993053.0,186760.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67928544303111,-73.9682622635774,"(40.679285443031105, -73.9682622635774)"
51352279,07/28/2021 12:01:06 AM,07/28/2021 12:57:44 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457.0,229 EAST  181 STREET,EAST  181 STREET,ANTHONY AVENUE,DETECTIVE MIOSOTIS FAMILIA WAY,ANTHONY AVENUE,DETECTIVE MIOSOTIS FAMILIA WAY,,BRONX,EAST  181 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/28/2021 04:57:48 AM,05 BRONX,2031570064.0,BRONX,1011707.0,250571.0,MOBILE,Unspecified,BRONX,,,,,,,,40.85439172088463,-73.90074777117101,"(40.85439172088463, -73.90074777117101)"
51359661,07/28/2021 12:01:15 AM,08/13/2021 02:57:36 PM,HPD,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,11434.0,150-39 115 ROAD,115 ROAD,,,,,ADDRESS,Jamaica,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,08/13/2021 12:00:00 AM,12 QUEENS,4121880045.0,QUEENS,1041863.0,188655.0,PHONE,Unspecified,QUEENS,,,,,,,,40.6843036624412,-73.79227019365646,"(40.684303662441195, -73.79227019365646)"
51351071,07/28/2021 12:01:29 AM,07/28/2021 01:03:51 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11377.0,66-26 GARFIELD AVENUE,GARFIELD AVENUE,51 AVENUE,67 STREET,51 AVENUE,67 STREET,,WOODSIDE,GARFIELD AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/28/2021 05:03:54 AM,02 QUEENS,4024150027.0,QUEENS,1012352.0,207324.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.73568849308769,-73.89859717996022,"(40.73568849308769, -73.89859717996022)"
51354854,07/28/2021 12:01:34 AM,07/28/2021 01:26:40 AM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10456.0,975 TINTON AVENUE,TINTON AVENUE,EAST  163 STREET,EAST  165 STREET,EAST  163 STREET,EAST  165 STREET,,BRONX,TINTON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/28/2021 05:26:45 AM,03 BRONX,2026390001.0,BRONX,1011259.0,239649.0,ONLINE,Unspecified,BRONX,,,,,,,,40.82441540852359,-73.9024111954865,"(40.82441540852359, -73.9024111954865)"
51355824,07/28/2021 12:02:12 AM,07/28/2021 12:33:27 AM,NYPD,New York City Police Department,Traffic,Truck Route Violation,Street/Sidewalk,11101.0,43-25 HUNTER STREET,HUNTER STREET,44 ROAD,CRESCENT STREET,44 ROAD,CRESCENT STREET,,LONG ISLAND CITY,HUNTER STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/28/2021 04:33:33 AM,02 QUEENS,4004337501.0,QUEENS,1000156.0,211759.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.74789180264069,-73.942594531949,"(40.74789180264069, -73.942594531949)"
51352323,07/28/2021 12:02:19 AM,07/28/2021 02:25:56 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11205.0,99 NORTH PORTLAND AVENUE,NORTH PORTLAND AVENUE,PARK AVENUE,AUBURN PLACE,PARK AVENUE,AUBURN PLACE,,BROOKLYN,NORTH PORTLAND AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/28/2021 06:25:59 AM,02 BROOKLYN,3020410001.0,BROOKLYN,990897.0,192214.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69425730450931,-73.97602997793548,"(40.69425730450931, -73.97602997793548)"
51346843,07/28/2021 12:02:25 AM,07/28/2021 12:48:47 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11421.0,86-01 89 AVENUE,89 AVENUE,FF LT ROBERT F WALLACE ST,87 STREET,FF LT ROBERT F WALLACE ST,87 STREET,,WOODHAVEN,89 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,07/28/2021 04:48:52 AM,09 QUEENS,4089210035.0,QUEENS,1023926.0,190552.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68960906323335,-73.85693264507016,"(40.68960906323335, -73.85693264507016)"
