Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
51574964,08/19/2021 12:00:00 AM,08/19/2021 11:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11361.0,,,,,BELL BOULEVARD,NORTHERN BOULEVARD,INTERSECTION,Bayside,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/19/2021 11:30:00 PM,11 QUEENS,,QUEENS,1048147.0,216353.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76028457522968,-73.7693497021632,"(40.760284575229676, -73.7693497021632)"
51567710,08/19/2021 12:00:35 AM,08/19/2021 12:46:24 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11423.0,100-28 196 STREET,196 STREET,100 AVENUE,104 AVENUE,100 AVENUE,104 AVENUE,,HOLLIS,196 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/19/2021 04:46:27 AM,12 QUEENS,4108620041.0,QUEENS,1049978.0,197825.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70941654702259,-73.76292134637508,"(40.70941654702259, -73.76292134637508)"
51567736,08/19/2021 12:00:36 AM,08/19/2021 12:19:04 AM,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,10002.0,TANAHEY PLAYGROUND,TANAHEY PLAYGROUND,CATHERINE SLIP,MARKET STREET,CATHERINE SLIP,MARKET STREET,,NEW YORK,TANAHEY PLAYGROUND,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/19/2021 04:19:09 AM,03 MANHATTAN,1002500043.0,MANHATTAN,985609.0,198023.0,ONLINE,Tanahey Playground,MANHATTAN,,,,,,,,40.71020403931433,-73.99509808143469,"(40.71020403931433, -73.99509808143469)"
51565528,08/19/2021 12:00:48 AM,08/19/2021 12:12:46 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Park,10458.0,CICCARONE PARK,CICCARONE PARK,MARIO BORGATTI WAY,EAST  188 STREET,MARIO BORGATTI WAY,EAST  188 STREET,,BRONX,CICCARONE PARK,,Closed,,NYC Parks couldn't respond to your complaint because they had to devote resources to other critical services at the time. The agency will use your complaint for future planning.,08/19/2021 04:12:49 AM,06 BRONX,2030770007.0,BRONX,1015650.0,251165.0,UNKNOWN,Ciccarone Park,BRONX,,,,,,,,40.85600892952088,-73.88649175185127,"(40.856008929520875, -73.88649175185127)"
51569153,08/19/2021 12:00:49 AM,08/19/2021 12:37:30 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433.0,108-18 174 STREET,174 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,,JAMAICA,174 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/19/2021 04:37:40 AM,12 QUEENS,4102570054.0,QUEENS,1044772.0,194273.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.699704314753234,-73.78173105356825,"(40.699704314753234, -73.78173105356825)"
51567636,08/19/2021 12:01:10 AM,08/19/2021 12:44:54 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11235.0,320 SHORE BOULEVARD,SHORE BOULEVARD,BEAUMONT STREET,COLERIDGE STREET,BEAUMONT STREET,COLERIDGE STREET,,BROOKLYN,SHORE BOULEVARD,,Closed,,The Police Department issued a summons in response to the complaint.,08/19/2021 04:45:00 AM,15 BROOKLYN,3087280027.0,BROOKLYN,997684.0,151290.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.5819219954809,-73.95163657912023,"(40.5819219954809, -73.95163657912023)"
51570892,08/19/2021 12:01:16 AM,08/20/2021 12:17:14 AM,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,Other,10019.0,1320 SIXTH AVENUE,SIXTH AVENUE,WEST   53 STREET,WEST   54 STREET,WEST   53 STREET,WEST   54 STREET,,NEW YORK,AVENUE OF THE AMERICAS,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,08/20/2021 04:17:17 AM,05 MANHATTAN,1012690001.0,MANHATTAN,990073.0,216844.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.76186122240735,-73.97898012523518,"(40.76186122240735, -73.97898012523518)"
51563150,08/19/2021 12:01:27 AM,08/19/2021 01:33:26 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11358.0,192-04 NORTHERN BOULEVARD,NORTHERN BOULEVARD,192 STREET,193 STREET,192 STREET,193 STREET,,FLUSHING,NORTHERN BOULEVARD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/19/2021 05:33:29 AM,11 QUEENS,4055160010.0,QUEENS,1042633.0,215450.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.75784420938423,-73.78926146122303,"(40.75784420938423, -73.78926146122303)"
51564504,08/19/2021 12:01:37 AM,08/19/2021 01:13:26 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378.0,55 DRIVE,55 DRIVE,55 DRIVE,61 STREET,55 DRIVE,61 STREET,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/19/2021 05:13:28 AM,05 QUEENS,,QUEENS,1010802.0,203706.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.72576276408367,-73.90420444825385,"(40.72576276408367, -73.90420444825385)"
51571617,08/19/2021 12:02:02 AM,08/19/2021 03:01:25 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10473.0,113 LIGHTHOUSE COURT,LIGHTHOUSE COURT,HORIZON COURT,DEAD END,HORIZON COURT,DEAD END,,BRONX,LIGHTHOUSE COURT,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/19/2021 07:01:31 AM,09 BRONX,2034360120.0,BRONX,1025792.0,233556.0,MOBILE,Unspecified,BRONX,,,,,,,,40.80763546037343,-73.84993842006173,"(40.80763546037343, -73.84993842006173)"
