Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
51505753,08/12/2021 12:00:00 AM,08/12/2021 10:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10027.0,,,,,LENOX AVENUE,WEST 121 STREET,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/12/2021 10:30:00 PM,10 MANHATTAN,,MANHATTAN,998825.0,232642.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8052124251272,-73.94735287249297,"(40.8052124251272, -73.94735287249297)"
51491282,08/12/2021 12:00:05 AM,08/12/2021 01:26:30 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10460.0,1817 WEST FARMS ROAD,WEST FARMS ROAD,EAST  174 STREET,CROSS BRONX EXPWY ET    4 A EB,EAST  174 STREET,CROSS BRONX EXPWY ET    4 A EB,,BRONX,WEST FARMS ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/12/2021 05:26:39 AM,03 BRONX,2030150062.0,BRONX,1016863.0,244115.0,ONLINE,Unspecified,BRONX,,,,,,,,40.83665437328413,-73.88214115763647,"(40.836654373284134, -73.88214115763647)"
51493586,08/12/2021 12:00:22 AM,08/12/2021 01:26:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457.0,234 EAST  178 STREET,EAST  178 STREET,GRAND CONCOURSE,ANTHONY AVENUE,GRAND CONCOURSE,ANTHONY AVENUE,,BRONX,EAST  178 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/12/2021 05:26:09 AM,05 BRONX,2028100020.0,BRONX,1010803.0,249079.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85029939152356,-73.90402147896039,"(40.850299391523556, -73.90402147896039)"
51496137,08/12/2021 12:00:58 AM,08/12/2021 01:09:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,151 MESEROLE STREET,MESEROLE STREET,GRAHAM AVENUE,HUMBOLDT STREET,GRAHAM AVENUE,HUMBOLDT STREET,,BROOKLYN,MESEROLE STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/12/2021 05:09:22 AM,01 BROOKLYN,3030440037.0,BROOKLYN,1000034.0,197263.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70810404540373,-73.94306883695855,"(40.70810404540373, -73.94306883695855)"
51496186,08/12/2021 12:01:14 AM,08/12/2021 12:58:19 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10025.0,968 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  107 STREET,WEST  108 STREET,WEST  107 STREET,WEST  108 STREET,,NEW YORK,AMSTERDAM AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/12/2021 04:58:24 AM,07 MANHATTAN,1018790036.0,MANHATTAN,993948.0,231273.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80146159540352,-73.96497131693627,"(40.801461595403524, -73.96497131693627)"
51500115,08/12/2021 12:01:22 AM,08/12/2021 12:27:44 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225.0,350 STERLING STREET,STERLING STREET,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,,BROOKLYN,STERLING STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/12/2021 04:27:47 AM,09 BROOKLYN,3013210021.0,BROOKLYN,998269.0,180904.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66320531293438,-73.94946903500922,"(40.66320531293438, -73.94946903500922)"
51499656,08/12/2021 12:01:31 AM,08/12/2021 12:46:05 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220.0,622 54 STREET,54 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,,BROOKLYN,54 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,08/12/2021 04:46:09 AM,07 BROOKLYN,3008250017.0,BROOKLYN,981537.0,172854.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64112049913367,-74.00977567069553,"(40.64112049913367, -74.00977567069553)"
51490713,08/12/2021 12:01:53 AM,08/12/2021 01:52:58 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421.0,91-44 90 STREET,90 STREET,91 AVENUE,ATLANTIC AVENUE,91 AVENUE,ATLANTIC AVENUE,,WOODHAVEN,90 STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,08/12/2021 05:53:05 AM,09 QUEENS,4089830027.0,QUEENS,1024997.0,190204.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68864901862788,-73.85307284708286,"(40.68864901862788, -73.85307284708286)"
51497630,08/12/2021 12:02:05 AM,08/12/2021 07:03:48 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10453.0,1 WEST  182 STREET,WEST  182 STREET,JEROME AVENUE,DAVIDSON AVENUE,JEROME AVENUE,DAVIDSON AVENUE,,BRONX,WEST  182 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/12/2021 11:03:53 AM,05 BRONX,2031960038.0,BRONX,1010578.0,251563.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85711790191046,-73.90482500833433,"(40.85711790191046, -73.90482500833433)"
51497426,08/12/2021 12:03:00 AM,08/12/2021 12:45:10 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10467.0,3561 DEKALB AVENUE,DEKALB AVENUE,EAST GUN HILL ROAD,EAST  212 STREET,EAST GUN HILL ROAD,EAST  212 STREET,,BRONX,DEKALB AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/12/2021 04:45:19 AM,07 BRONX,2033280037.0,BRONX,1017608.0,261246.0,PHONE,Unspecified,BRONX,,,,,,,,40.88367098731679,-73.87936357536644,"(40.88367098731679, -73.87936357536644)"
