Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
51687453,08/31/2021 12:00:11 AM,08/31/2021 02:47:42 AM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11102.0,23-11 29 AVENUE,29 AVENUE,23 STREET,CRESCENT STREET,23 STREET,CRESCENT STREET,,ASTORIA,29 AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,08/31/2021 06:47:46 AM,01 QUEENS,4005460005.0,QUEENS,1004845.0,219733.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.76976870723533,-73.92564730038994,"(40.76976870723533, -73.92564730038994)"
51690166,08/31/2021 12:00:46 AM,08/31/2021 01:34:22 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11206.0,196 THROOP AVENUE,THROOP AVENUE,PARK AVENUE,MYRTLE AVENUE,PARK AVENUE,MYRTLE AVENUE,,BROOKLYN,THROOP AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,08/31/2021 05:34:26 AM,03 BROOKLYN,3017400001.0,BROOKLYN,999807.0,193542.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.697891177973816,-73.94389619688789,"(40.697891177973816, -73.94389619688789)"
51690579,08/31/2021 12:00:47 AM,08/31/2021 01:12:39 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11234.0,2052 EAST   53 PLACE,EAST   53 PLACE,AVENUE T,AVENUE U,AVENUE T,AVENUE U,,BROOKLYN,EAST   53 PLACE,,Closed,,The Police Department issued a summons in response to the complaint.,08/31/2021 05:12:44 AM,18 BROOKLYN,3085440053.0,BROOKLYN,1005904.0,162069.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61149189592021,-73.92200941762486,"(40.61149189592021, -73.92200941762486)"
51690088,08/31/2021 12:00:48 AM,08/31/2021 01:11:34 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11214.0,45 BAY   38 STREET,BAY   38 STREET,86 STREET,BENSON AVENUE,86 STREET,BENSON AVENUE,,BROOKLYN,BAY   38 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/31/2021 05:11:39 AM,11 BROOKLYN,3068667501.0,BROOKLYN,987344.0,156952.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.59747269272421,-73.98885877127528,"(40.59747269272421, -73.98885877127528)"
51691393,08/31/2021 12:01:07 AM,08/31/2021 01:21:24 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237.0,630 IRVING AVENUE,IRVING AVENUE,COOPER STREET,MOFFAT STREET,COOPER STREET,MOFFAT STREET,,BROOKLYN,IRVING AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/31/2021 05:21:29 AM,04 BROOKLYN,3034430137.0,BROOKLYN,1011298.0,191486.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.692220277209046,-73.90246404769282,"(40.692220277209046, -73.90246404769282)"
51690771,08/31/2021 12:01:10 AM,08/31/2021 12:50:08 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225.0,2100 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,DEAD END,FLATBUSH AVENUE,,BROOKLYN,BEEKMAN PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/31/2021 04:50:12 AM,09 BROOKLYN,3050260085.0,BROOKLYN,995071.0,179734.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65999840753109,-73.96099798320904,"(40.659998407531084, -73.96099798320904)"
51687452,08/31/2021 12:01:23 AM,08/31/2021 01:17:20 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207.0,55 ABERDEEN STREET,ABERDEEN STREET,BUSHWICK AVENUE,DEAD END,BUSHWICK AVENUE,DEAD END,,BROOKLYN,ABERDEEN STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/31/2021 05:17:25 AM,04 BROOKLYN,,BROOKLYN,1010460.0,187957.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.682536508447896,-73.90549962862353,"(40.682536508447896, -73.90549962862353)"
51701596,08/31/2021 12:01:42 AM,09/01/2021 09:00:43 PM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10468.0,2388 CRESTON AVENUE,CRESTON AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,09/01/2021 12:00:00 AM,05 BRONX,2031650010.0,BRONX,1012053.0,252702.0,PHONE,Unspecified,BRONX,,,,,,,,40.860239591233366,-73.89948820420176,"(40.860239591233366, -73.89948820420176)"
51690086,08/31/2021 12:02:00 AM,08/31/2021 02:37:49 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472.0,1516 WATSON AVENUE,WATSON AVENUE,WHEELER AVENUE,ELDER AVENUE,WHEELER AVENUE,ELDER AVENUE,,BRONX,WATSON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/31/2021 06:37:53 AM,09 BRONX,2037130037.0,BRONX,1017797.0,240232.0,ONLINE,Unspecified,BRONX,,,,,,,,40.82599316477239,-73.87878523385994,"(40.825993164772385, -73.87878523385994)"
51684705,08/31/2021 12:02:14 AM,08/31/2021 01:08:10 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10457.0,700 OAKLAND PLACE,OAKLAND PLACE,CROTONA AVENUE,CLINTON AVENUE,CROTONA AVENUE,CLINTON AVENUE,,BRONX,OAKLAND PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/31/2021 05:08:13 AM,06 BRONX,2030950007.0,BRONX,1014872.0,247991.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8472999808393,-73.88931864798408,"(40.8472999808393, -73.88931864798408)"
