Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
51487048,08/10/2021 12:00:00 AM,08/10/2021 12:00:00 PM,DSNY,Department of Sanitation,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11429.0,111-22 SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,111 AVENUE,111 ROAD,,,ADDRESS,Queens Village,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,08/10/2021 12:00:00 PM,13 QUEENS,4111440037.0,QUEENS,1056475.0,196658.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70616277322359,-73.7394995388337,"(40.70616277322359, -73.7394995388337)"
51479649,08/10/2021 12:00:06 AM,08/10/2021 03:26:22 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11211.0,66 KINGSLAND AVENUE,KINGSLAND AVENUE,WITHERS STREET,FROST STREET,WITHERS STREET,FROST STREET,,BROOKLYN,KINGSLAND AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/10/2021 07:26:27 AM,01 BROOKLYN,,BROOKLYN,1000778.0,200911.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71811557505409,-73.9403763550395,"(40.71811557505409, -73.9403763550395)"
51478227,08/10/2021 12:01:04 AM,08/10/2021 02:45:32 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11208.0,128 FORCE TUBE AVENUE,FORCE TUBE AVENUE,HALE AVENUE,RIDGEWOOD AVENUE,HALE AVENUE,RIDGEWOOD AVENUE,,BROOKLYN,FORCE TUBE AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/10/2021 06:45:39 AM,05 BROOKLYN,3039150002.0,BROOKLYN,1017406.0,188535.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68409969226916,-73.88045295203432,"(40.68409969226916, -73.88045295203432)"
51473861,08/10/2021 12:01:11 AM,08/10/2021 12:39:52 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11420.0,135-24 116 STREET,116 STREET,135 AVENUE,149 AVENUE,135 AVENUE,149 AVENUE,,SOUTH OZONE PARK,116 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/10/2021 04:39:58 AM,10 QUEENS,4118020049.0,QUEENS,1033143.0,183705.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.67076952175272,-73.82374690090055,"(40.67076952175272, -73.82374690090055)"
51478918,08/10/2021 12:01:14 AM,08/10/2021 01:01:08 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11233.0,539 CHAUNCEY STREET,CHAUNCEY STREET,THOMAS S BOYLAND STREET,ROCKAWAY AVENUE,THOMAS S BOYLAND STREET,ROCKAWAY AVENUE,,BROOKLYN,CHAUNCEY STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/10/2021 05:01:12 AM,16 BROOKLYN,3015110056.0,BROOKLYN,1008358.0,187865.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.682289964107206,-73.9130787309318,"(40.682289964107206, -73.9130787309318)"
51476523,08/10/2021 12:01:33 AM,08/10/2021 01:35:39 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237.0,209 IRVING AVENUE,IRVING AVENUE,HIMROD STREET,HARMAN STREET,HIMROD STREET,HARMAN STREET,,BROOKLYN,IRVING AVENUE,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,08/10/2021 05:35:42 AM,04 BROOKLYN,3032800005.0,BROOKLYN,1006924.0,194760.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.701218928904446,-73.91822580008484,"(40.701218928904446, -73.91822580008484)"
51481647,08/10/2021 12:01:54 AM,08/10/2021 02:22:56 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10466.0,655 EAST  234 STREET,EAST  234 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD LINE,CARPENTER AVENUE,WHITE PLAINS ROAD LINE,,BRONX,EAST  234 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,08/10/2021 06:22:58 AM,12 BRONX,2049950022.0,BRONX,1023366.0,265264.0,MOBILE,Unspecified,BRONX,,,,,,,,40.8946754733025,-73.8585168127549,"(40.8946754733025, -73.8585168127549)"
51482488,08/10/2021 12:02:28 AM,08/10/2021 12:37:33 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10030.0,312 WEST  142 STREET,WEST  142 STREET,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,,NEW YORK,WEST  142 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/10/2021 04:37:36 AM,10 MANHATTAN,1020430022.0,MANHATTAN,999852.0,238409.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.821039474871135,-73.94362978726402,"(40.821039474871135, -73.94362978726402)"
51476372,08/10/2021 12:02:40 AM,08/20/2021 08:51:25 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Park,10457.0,2130 WASHINGTON AVENUE,WASHINGTON AVENUE,EAST  181 STREET,EAST  182 STREET,EAST  181 STREET,EAST  182 STREET,,BRONX,WASHINGTON AVENUE,,Closed,,NYC Parks has completed the requested work order and corrected the problem.,08/20/2021 12:51:30 PM,06 BRONX,2030490001.0,BRONX,1013311.0,249895.0,UNKNOWN,Bathgate Playground,BRONX,,,,,,,,40.85253116938281,-73.89495252892836,"(40.85253116938281, -73.89495252892836)"
51475193,08/10/2021 12:02:41 AM,08/10/2021 12:50:08 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452.0,1505 TOWNSEND AVENUE,TOWNSEND AVENUE,EAST  172 STREET,EAST MT EDEN AVENUE,EAST  172 STREET,EAST MT EDEN AVENUE,,BRONX,TOWNSEND AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/10/2021 04:50:14 AM,04 BRONX,2028460074.0,BRONX,1007758.0,246176.0,ONLINE,Unspecified,BRONX,,,,,,,,40.842340146343126,-73.91503811152762,"(40.842340146343126, -73.91503811152762)"
